Año,Precio,Antioquia,Caribe,Centro,Oriente,Valle
15/02/2014,202.351273176633,0.578330446421542,0.613196755407654,0.558392781442599,0.494483735877225,0.625641945684107
16/02/2014,199.501494826533,0.575048224549248,0.605657237936772,0.558669001751313,0.488935841799618,0.631809109461551
17/02/2014,194.067276828133,0.570411122483794,0.597909733777038,0.556862060565139,0.479712546970483,0.628714314547779
18/02/2014,189.7973061218,0.565759257801223,0.591410149750416,0.556551312717835,0.473664899606523,0.628961001098877
19/02/2014,184.791097330467,0.561140198934467,0.584338602329451,0.556067927177585,0.468148635483749,0.630553250655962
20/02/2014,190.964435256833,0.559388368369944,0.577735024958403,0.555080055934613,0.461348195194777,0.635060886726021
21/02/2014,172.08409954,0.559429375639713,0.568427620632279,0.554577488428479,0.454784979567049,0.653091431006257
22/02/2014,182.574518914667,0.560093693409968,0.552100665557404,0.552333198420173,0.444530548210377,0.667847771971923
23/02/2014,168.745377451267,0.560093693409968,0.552100665557404,0.552333198420173,0.444530548210377,0.667847771971923
24/02/2014,165.9945632977,0.553507925885101,0.544665141430949,0.55105376129578,0.437094345829274,0.668699961875715
25/02/2014,167.880149054033,0.556314463428077,0.535357737104825,0.548803716697709,0.429531623628841,0.67358884079747
26/02/2014,169.561684050067,0.553599782169383,0.531042013311148,0.547702671856028,0.42434114804084,0.67141351393779
27/02/2014,167.7185711763,0.568209852242606,0.527246256239601,0.548402813610756,0.418654082161971,0.672848781144177
28/02/2014,156.989533700133,0.576102931527701,0.523866472545757,0.548508314423112,0.417613456647984,0.686326837254154
1/03/2014,149.323700458033,0.573527674986221,0.524854409317804,0.551172689484255,0.42215551816192,0.69011683972102
2/03/2014,144.7525329551,0.569968243970291,0.524230449251248,0.553232832620084,0.424698566530447,0.693637729586688
3/03/2014,166.374415190533,0.571700391045325,0.518406821963394,0.553098558858903,0.426510962942345,0.696844654750959
4/03/2014,163.321360231867,0.572199039445713,0.507019550748752,0.556933033838906,0.424670099571098,0.697001637101657
5/03/2014,159.724356407133,0.570242172532346,0.495476289517471,0.559420934813925,0.421826566631663,0.706151465542374
6/03/2014,154.968038519267,0.567560297089468,0.483361064891847,0.558715038469433,0.419391060109566,0.714718216680496
7/03/2014,145.304971221467,0.567419232081463,0.471557820299501,0.557926659671643,0.415038778324625,0.718014846045166
8/03/2014,142.846825028867,0.568424730336194,0.460430532445924,0.558981667795206,0.407978972406027,0.724361418223408
9/03/2014,134.888798393433,0.571244390205496,0.452579034941764,0.557989960159057,0.406852946013993,0.730528582000852
10/03/2014,135.6073523942,0.567858830013385,0.44238768718802,0.557704148867401,0.404252963726768,0.733668229014824
11/03/2014,161.946165787633,0.564602852793743,0.431624376039933,0.557533429371043,0.397357633573299,0.736090242425602
12/03/2014,152.5558397239,0.56409436264861,0.420031055900621,0.559037295496266,0.38898834752464,0.73961113229127
13/03/2014,144.474117211333,0.56381059234181,0.410603371783496,0.560765590622321,0.382978656106479,0.746002556569711
14/03/2014,142.3999215174,0.5590947563184,0.404503105590062,0.561663306625643,0.379704955781323,0.745957704469512
15/03/2014,148.921205224633,0.55839599244154,0.397404614019521,0.564310417917491,0.382466250838194,0.746630485972506
16/03/2014,128.247559697367,0.558774899614203,0.3900842945874,0.564460037251378,0.38269714950847,0.7472584153753
17/03/2014,147.764683745567,0.556242290633283,0.379103815439219,0.563652476487705,0.374406938346892,0.749052499383284
18/03/2014,138.9518113627,0.554298546046243,0.383429458740018,0.562821897364973,0.36855223370741,0.747774214527595
19/03/2014,141.3354579509,0.548857701493321,0.386091393078971,0.562269456747544,0.363852022419312,0.745733443968514
20/03/2014,135.287996996533,0.546763050153531,0.384649511978705,0.559008522547442,0.355688331077063,0.747505101926398
21/03/2014,159.469370329033,0.541912710285279,0.385869565217391,0.557993796552233,0.346433406293096,0.748155457379292
22/03/2014,170.329024445433,0.537728328478072,0.383817657497782,0.556954134001377,0.337064613671732,0.749590724585679
23/03/2014,179.317797747133,0.536918024827441,0.377384649511979,0.556098618322998,0.330453953111755,0.751138122042565
24/03/2014,165.819980663567,0.534114767866047,0.368234250221828,0.554247558615292,0.327189741773049,0.758919961427194
25/03/2014,165.140706348133,0.531132719208461,0.360858473824312,0.553622226527508,0.320193195764116,0.762799668094458
26/03/2014,177.425053873167,0.530612747027793,0.359582963620231,0.552383071531469,0.312510279735321,0.774842456998049
27/03/2014,155.283954915167,0.525132535495893,0.354480922803904,0.55223537039417,0.305074077354217,0.764369491601444
28/03/2014,157.304143733833,0.520508555756764,0.345607808340728,0.551316554228377,0.295581927909007,0.750061671637775
29/03/2014,138.621506529167,0.515405611106737,0.332519964507542,0.549996834975629,0.289455205657966,0.740396044044762
30/03/2014,139.699824049933,0.512179159121329,0.317823868677906,0.547056239605772,0.285801945874821,0.730237043349555
31/03/2014,142.9873932217,0.50674651602236,0.303848713398403,0.544393782741218,0.280285681752046,0.720347155255545
1/04/2014,150.909904904667,0.50087427499147,0.290483584738243,0.542272257314563,0.273216386847,0.711309457065327
2/04/2014,183.496451878833,0.493433915964622,0.276952085181899,0.540944865275463,0.26880717114336,0.700903769819022
3/04/2014,216.3075984998,0.491313019972181,0.266082519964508,0.538746611985276,0.261744202229279,0.692449148931398
4/04/2014,285.7261012743,0.488959202687452,0.25765306122449,0.539416062594591,0.253245233365807,0.685564351550762
5/04/2014,241.3985061129,0.488360496548828,0.24988908606921,0.53937194407306,0.245495894431863,0.686192280953556
6/04/2014,217.6451208266,0.489736700522268,0.243566992014197,0.53743648371547,0.239002264704766,0.688434885963535
7/04/2014,318.5290708406,0.487212292995302,0.236246672582076,0.537480602237001,0.238806158984805,0.676593931510843
8/04/2014,318.610111093167,0.483706991575466,0.228094498669033,0.539070787208698,0.238926352813168,0.666479782915835
9/04/2014,334.4098683122,0.478569600818833,0.220330523513753,0.54117313066947,0.234963119472665,0.671346235787491
10/04/2014,363.246896396,0.476320762144713,0.212566548358474,0.538942268037282,0.228845886208074,0.658899777982104
11/04/2014,334.425464715,0.471998595911083,0.204968944099379,0.536149373804724,0.221994837991371,0.646543024377116
12/04/2014,323.1612434482,0.467812573813086,0.199367790594499,0.534165958532426,0.215529675223624,0.631046623758158
13/04/2014,335.770541022,0.467443508385167,0.20086512866016,0.532073206054596,0.207413428813624,0.628198515395483
14/04/2014,355.734678733233,0.464835446027872,0.193489352262644,0.530922288101618,0.199158010602361,0.616335134892691
15/04/2014,401.140539479033,0.461330144608036,0.186446317657498,0.528023893056704,0.194040283910475,0.6153259626382
16/04/2014,425.591495534,0.461919009001916,0.180789707187223,0.52456154821483,0.188097015397462,0.603843824987105
